+-------------+---------------------+
|    date     |      avg_price      |
| 2019-08-20  | 55.19003285543593   |
| 2019-08-21  | 54.449054634745046  |
| 2019-08-22  | 56.04983861502336   |
| 2019-08-23  | 60.76798498845247   |
| 2019-08-24  | 59.24748661055848   |
| 2019-08-25  | 63.34918052988281   |
| 2019-08-26  | 60.21950702206903   |
| 2019-08-27  | 51.7726288806607    |
| 2019-08-28  | 51.27835443037962   |
| 2019-08-29  | 54.42156975156968   |
| 2019-08-30  | 59.27843068640632   |
| 2019-08-31  | 58.93365421640341   |
| 2019-09-01  | 64.75494880546086   |
| 2019-09-02  | 57.87742569002105   |
| 2019-09-03  | 53.446923274974125  |
| 2019-09-04  | 56.7032455440274    |
| 2019-09-05  | 60.651474690082736  |
| 2019-09-06  | 65.43592868547073   |
| 2019-09-07  | 53.78406480117838   |
