+--------------+--------------+
| ticket_date  | daily_count  |
| 2020-05-12   | 14168        |
| 2020-05-13   | 14090        |
| 2020-05-14   | 14661        |
| 2020-05-15   | 12560        |
| 2020-05-16   | 10371        |
| 2020-05-17   | 12177        |
| 2020-05-18   | 14144        |
| 2020-05-19   | 14005        |
| 2020-05-20   | 14242        |
| 2020-05-21   | 14227        |
| 2020-05-22   | 14069        |
| 2020-05-23   | 10314        |
| 2020-05-24   | 12044        |
| 2020-05-25   | 14122        |
| 2020-05-26   | 13918        |
| 2020-05-27   | 14054        |
| 2020-05-28   | 14368        |
| 2020-05-29   | 14273        |
| 2020-05-30   | 10356        |
| 2020-05-31   | 11793        |
| 2020-06-01   | 4846         |
| 2020-06-02   | 4828         |
| 2020-06-03   | 4833         |
| 2020-06-04   | 4761         |
| 2020-06-05   | 4479         |
| 2020-06-06   | 3367         |
| 2020-06-07   | 3765         |
| 2020-06-08   | 4381         |
| 2020-06-09   | 4085         |
| 2020-06-10   | 3987         |
+--------------+--------------+
| ticket_date  | daily_count  |
+--------------+--------------+
| 2020-06-11   | 3800         |
| 2020-06-12   | 3514         |
| 2020-06-13   | 2638         |
| 2020-06-14   | 2662         |
| 2020-06-15   | 2867         |
| 2020-06-16   | 2796         |
| 2020-06-17   | 2749         |
| 2020-06-18   | 2702         |
| 2020-06-19   | 2541         |
| 2020-06-20   | 1935         |
| 2020-06-21   | 2033         |
| 2020-06-22   | 2134         |
| 2020-06-23   | 1924         |
| 2020-06-24   | 1780         |
| 2020-06-25   | 1733         |
| 2020-06-26   | 1523         |
| 2020-06-27   | 1107         |
| 2020-06-28   | 1122         |
| 2020-06-29   | 1340         |
| 2020-06-30   | 1308         |
| 2020-07-01   | 1494         |
| 2020-07-02   | 1523         |
| 2020-07-03   | 1536         |
| 2020-07-04   | 1316         |
| 2020-07-05   | 1576         |
| 2020-07-06   | 1893         |
| 2020-07-07   | 2114         |
| 2020-07-08   | 2197         |
| 2020-07-09   | 2371         |
| 2020-07-10   | 2547         |
| 2020-07-11   | 2203         |
| 2020-07-12   | 2378         |
| 2020-07-13   | 2768         |
| 2020-07-14   | 2667         |
| 2020-07-15   | 2651         |
| 2020-07-16   | 2720         |
| 2020-07-17   | 2719         |
| 2020-07-18   | 2238         |
| 2020-07-19   | 2435         |
| 2020-07-20   | 2713         |
| 2020-07-21   | 2716         |
| 2020-07-22   | 2683         |
| 2020-07-23   | 2658         |
| 2020-07-24   | 2631         |
| 2020-07-25   | 2166         |
| 2020-07-26   | 2405         |
| 2020-07-27   | 2666         |
| 2020-07-28   | 2731         |
| 2020-07-29   | 2678         |
| 2020-07-30   | 2736         |
| 2020-07-31   | 2721         |
| 2020-08-01   | 2159         |
| 2020-08-02   | 2366         |
| 2020-08-03   | 2715         |
| 2020-08-04   | 2640         |
| 2020-08-05   | 2720         |
| 2020-08-06   | 2637         |
| 2020-08-07   | 2729         |
| 2020-08-08   | 2149         |
| 2020-08-09   | 2318         |
| 2020-08-10   | 2647         |
| 2020-08-11   | 2705         |
| 2020-08-12   | 2664         |
| 2020-08-13   | 2650         |
| 2020-08-14   | 2686         |
| 2020-08-15   | 2140         |
| 2020-08-16   | 2324         |
| 2020-08-17   | 2639         |
| 2020-08-18   | 2646         |
| 2020-08-19   | 2674         |
| 2020-08-20   | 2721         |
| 2020-08-21   | 2668         |
| 2020-08-22   | 2089         |
| 2020-08-23   | 2358         |
| 2020-08-24   | 2691         |
| 2020-08-25   | 2652         |
| 2020-08-26   | 2646         |
| 2020-08-27   | 2682         |
| 2020-08-28   | 2558         |
| 2020-08-29   | 1908         |
| 2020-08-30   | 2088         |
| 2020-08-31   | 2514         |
| 2020-09-01   | 2505         |
| 2020-09-02   | 2397         |
| 2020-09-03   | 2390         |
| 2020-09-04   | 2443         |
| 2020-09-05   | 1893         |
| 2020-09-06   | 2145         |
| 2020-09-07   | 2212         |
| 2020-09-08   | 2201         |
| 2020-09-09   | 2153         |
| 2020-09-10   | 2138         |
| 2020-09-11   | 2161         |
| 2020-09-12   | 1749         |
| 2020-09-13   | 1894         |
| 2020-09-14   | 2024         |
| 2020-09-15   | 1983         |
| 2020-09-16   | 2001         |
| 2020-09-17   | 1950         |
| 2020-09-18   | 2051         |
+--------------+--------------+
| ticket_date  | daily_count  |
+--------------+--------------+
| 2020-09-19   | 1653         |
| 2020-09-20   | 1837         |
| 2020-09-21   | 1787         |
| 2020-09-22   | 1891         |
| 2020-09-23   | 1803         |
| 2020-09-24   | 1912         |
| 2020-09-25   | 1832         |
| 2020-09-26   | 1548         |
| 2020-09-27   | 1552         |
| 2020-09-28   | 1571         |
| 2020-09-29   | 1673         |
| 2020-09-30   | 1751         |
| 2020-10-01   | 1880         |
| 2020-10-02   | 2029         |
| 2020-10-03   | 1534         |
| 2020-10-04   | 1874         |
| 2020-10-05   | 2273         |
| 2020-10-06   | 2303         |
| 2020-10-07   | 2373         |
| 2020-10-08   | 2169         |
| 2020-10-09   | 2142         |
| 2020-10-10   | 1544         |
| 2020-10-11   | 1660         |
| 2020-10-12   | 2003         |
| 2020-10-13   | 2076         |
| 2020-10-14   | 2080         |
| 2020-10-15   | 2141         |
| 2020-10-16   | 2102         |
| 2020-10-17   | 1541         |
| 2020-10-18   | 1816         |
| 2020-10-19   | 2023         |
| 2020-10-20   | 2072         |
| 2020-10-21   | 1995         |
| 2020-10-22   | 2024         |
| 2020-10-23   | 2123         |
| 2020-10-24   | 1467         |
| 2020-10-25   | 1793         |
| 2020-10-26   | 2074         |
| 2020-10-27   | 2021         |
| 2020-10-28   | 2050         |
| 2020-10-29   | 1955         |
| 2020-10-30   | 2077         |
| 2020-10-31   | 1454         |
| 2020-11-01   | 1530         |
| 2020-11-02   | 1847         |
| 2020-11-03   | 1943         |
| 2020-11-04   | 1857         |
| 2020-11-05   | 1776         |
| 2020-11-06   | 1812         |
| 2020-11-07   | 1335         |
| 2020-11-08   | 1574         |
| 2020-11-09   | 1803         |
| 2020-11-10   | 1729         |
| 2020-11-11   | 1719         |
| 2020-11-12   | 1754         |
| 2020-11-13   | 1805         |
| 2020-11-14   | 1328         |
| 2020-11-15   | 1494         |
| 2020-11-16   | 1712         |
| 2020-11-17   | 1768         |
| 2020-11-18   | 1746         |
| 2020-11-19   | 1788         |
| 2020-11-20   | 1786         |
| 2020-11-21   | 1260         |
| 2020-11-22   | 1541         |
| 2020-11-23   | 1786         |
| 2020-11-24   | 1750         |
| 2020-11-25   | 1789         |
| 2020-11-26   | 1762         |
| 2020-11-27   | 1681         |
| 2020-11-28   | 1047         |
| 2020-11-29   | 1078         |
| 2020-11-30   | 1081         |
| 2020-12-01   | 866          |
| 2020-12-02   | 669          |
| 2020-12-03   | 404          |
| 2020-12-04   | 200          |
| 2020-12-05   | 20           |
+--------------+--------------+
